Inventory Item,,,0,0
Inv,,,0,0
Inv,,,0,0
Abrasive,,,0,0
Abrasive,,,0,0
Cutting,,,0,0
Cutting,,,0,0
1007.006.0001,5785,89,65,65
1007.006.0002,2310,22,105,105
1007.006.0003,60475,192,314.973958333333,314.973958333333
1007.006.0004,3150,10,315,315
Total - Cutting,71720,313,229.137380191693,229.137380191693
Emery Paper,,,0,0
Emery Paper,,,0,0
1007.007.0001,,,0,0
1007.007.0002,,,0,0
1007.007.0004,,,0,0
1007.007.0005,,,0,0
Total - Emery Paper,0,0,0,0
Grinding,,,0,0
Grinding,,,0,0
1007.002.0001,0,0,0,0
1007.002.0002,2263,31,73,73
1007.002.0003,2181.44,17,128.32,128.32
1007.004.0001,0,0,0,0
1007.004.0002,176444.36,412,428.263009708738,428.263009708738
1007.004.0003,186050.48,384,484.506458333333,484.506458333333
Total - Grinding,366939.28,844,434.762180094787,434.762180094787
Polishing,,,0,0
Polishing,,,0,0
1007.005.0004,,,0,0
1007.005.0005,89598.95,197,454.817005076142,454.817005076142
1007.005.0006,180216.3,260,693.139615384615,693.139615384615
1007.005.0007,214624.43,520,412.739288461538,412.739288461538
Total - Polishing,484439.68,977,495.844094165814,495.844094165814
Total - Abrasive,923098.96,2134,432.567460168697,432.567460168697
AC Supply,,,0,0
AC Supply,,,0,0
0098.001.0001,,,0,0
0098.001.0002,1050,1,1050,1050
0098.001.0003,3150,3,1050,1050
0098.001.0004,1300,2,650,650
0098.001.0005,,,0,0
0098.001.0006,18700,1,18700,18700
0098.001.0007,,,0,0
0098.001.0008,,,0,0
0098.001.0009,4800,1,4800,4800
0098.001.0010,941143.74,1,941143.74,941143.74
0098.001.0011,0,0,0,0
Total - AC Supply,970143.74,9,107793.748888889,107793.748888889
Additive,,,0,0
Additive,,,0,0
1008.001.0005,0,0,0,0
Acids,,,0,0
Acids,,,0,0
1008.001.0001,0,0,0,0
Total - Acids,0,0,0,0
Chlorine Powder,,,0,0
Chlorine Powder,,,0,0
1008.001.0003,0,0,0,0
Total - Chlorine Powder,0,0,0,0
Distilled Water,,,0,0
Distilled Water,,,0,0
1008.001.0002,,,0,0
Total - Distilled Water,0,0,0,0
Total - Additive,0,0,0,0
Adhesives,,,0,0
Adhesives,,,0,0
1006.001.0002,1950,2,975,975
1006.001.0003,0,0,0,0
1006.001.0004,,,0,0
1006.001.0008,,,0,0
1006.001.0009,,,0,0
1006.001.0010,,,0,0
Total - Adhesives,1950,2,975,975
Advant 500 system,,,0,0
Advant 500 system,,,0,0
0131.001.0001,,,0,0
Total - Advant 500 system,0,0,0,0
AV,,,0,0
AV,,,0,0
Connector,,,0,0
Connector,,,0,0
2001.001.0002,1337.34,73,18.3197260273973,18.3197260273973
2001.001.0003,2711.75,111,24.4301801801802,24.4301801801802
2001.001.0004,952.23,39,24.4161538461538,24.4161538461538
2001.001.0005,130.16,11,11.8327272727273,11.8327272727273
Total - Connector,5131.48,234,21.9294017094017,21.9294017094017
Power Pass,,,0,0
Power Pass,,,0,0
2001.002.0001,182.96,1,182.96,182.96
2001.002.0002,0,0,0,0
2001.002.0003,512.72,2,256.36,256.36
2001.002.0005,0,0,0,0
Total - Power Pass,695.68,3,231.893333333333,231.893333333333
Total - AV,5827.16,237,24.5871729957806,24.5871729957806
Bathroom,,,0,0
Bathroom,,,0,0
Fixture,,,0,0
Fixture,,,0,0
1010.002.0005,,,0,0
1010.002.0006,0,0,0,0
Total - Fixture,0,0,0,0
Geyser,,,0,0
Geyser,,,0,0
1010.003.0003,0,0,0,0
Total - Geyser,0,0,0,0
Tap&Cock,,,0,0
Tap&Cock,,,0,0
1010.005.0002,,,0,0
Total - Tap&Cock,0,0,0,0
Total - Bathroom,0,0,0,0
Breaker Cubicles,,,0,0
Breaker Cubicles,,,0,0
0034.001.0001,,,0,0
0034.001.0002,2764,2,1382,1382
0034.001.0003,2764,2,1382,1382
0034.001.0004,1382,1,1382,1382
0034.001.0005,880825,5,176165,176165
0034.001.0006,6618.95,20,330.9475,330.9475
0034.001.0007,3640.55,11,330.959090909091,330.959090909091
0034.001.0008,1986.09,6,331.015,331.015
0034.001.0009,115838,1,115838,115838
0034.001.0010,377300.55,1,377300.55,377300.55
0034.001.0011,62883,1,62883,62883
0034.001.0012,72812.7,1,72812.7,72812.7
0034.001.0013,79431.65,1,79431.65,79431.65
0034.001.0014,119147.05,1,119147.05,119147.05
0034.001.0015,119147.05,1,119147.05,119147.05
0034.001.0016,92670.4,1,92670.4,92670.4
0034.001.0017,92670.4,1,92670.4,92670.4
0034.001.0018,11200,2,5600,5600
0034.001.0019,4500,1,4500,4500
0034.001.0020,6000,8,750,750
0034.001.0021,22467.2,2,11233.6,11233.6
Total - Breaker Cubicles,2076048.59,69,30087.6607246377,30087.6607246377
Breathing Equip,,,0,0
Breathing Equip,,,0,0
0105.001.0001,111535.3,1,111535.3,111535.3
Total - Breathing Equip,111535.3,1,111535.3,111535.3
Busbar,,,0,0
Busbar,,,0,0
0036.001.0001,1500,20,75,75
0036.001.0002,7650,3,2550,2550
0036.001.0003,3640,2,1820,1820
0036.001.0004,58990,34,1735,1735
0036.001.0005,8050,23,350,350
0036.001.0006,113750,182,625,625
0036.001.0007,8556,12,713,713
0036.001.0008,1700,4,425,425
Total - Busbar,203836,280,727.985714285714,727.985714285714
Cable,,,0,0
Cable,,,0,0
0037.001.0001,5762.15,2,2881.075,2881.075
0037.001.0002,5762.15,2,2881.075,2881.075
0037.001.0003,5762.15,2,2881.075,2881.075
0037.001.0004,2880.65,1,2880.65,2880.65
0037.001.0005,16250,5,3250,3250
0037.001.0006,11300,2,5650,5650
0037.001.0007,6500,2,3250,3250
0037.001.0008,3250,1,3250,3250
0037.001.0009,5650,1,5650,5650
0037.001.0010,6500,2,3250,3250
0037.001.0011,9400,8,1175,1175
0037.001.0012,8225,7,1175,1175
0037.001.0013,4950,3,1650,1650
0037.001.0014,985,1,985,985
0037.001.0015,3525,3,1175,1175
0037.001.0016,10240,8,1280,1280
0037.001.0017,1320,1,1320,1320
0037.001.0018,3960,3,1320,1320
